,Date,DG200 Units Consumed,DG250 Units Consumed,Cauvery Water Received,WTP Water Received,STP Water Received
0,12/14/2023,42,5,0,138000,117
1,12/15/2023,4,3,50000,137000,131
2,12/16/2023,12,3,46000,145000,116
3,12/17/2023,2,0,72000,132000,130
4,12/18/2023,2,0,55000,139000,140
5,12/19/2023,0,0,67000,134000,110
6,12/20/2023,0,0,59000,150000,160
7,12/21/2023,17,0,57000,140000,102
8,12/22/2023,5,0,70000,149000,134
9,12/23/2023,0,0,51000,142000,136
10,12/24/2023,1,0,68000,130000,106
11,12/25/2023,0,0,54000,117000,115
12,12/26/2023,7,1,57000,130000,122
13,12/27/2023,0,3,65000,153000,119
14,12/28/2023,0,0,67000,132000,134
15,12/29/2023,0,1,56000,140000,119
16,12/30/2023,0,0,93000,125000,99
17,12/31/2023,0,0,67000,138000,130
18,1/3/2024,0,3,60000,157000,126
19,1/4/2024,0,19,51000,139000,131
20,1/5/2024,37,2,58000,167000,140
21,1/6/2024,0,0,72000,170000,137
22,1/7/2024,2,1,76000,146000,112
23,1/8/2024,2,1,51000,141000,115
24,1/9/2024,0,3,64000,133000,124
25,1/10/2024,0,0,47000,138000,132
26,1/11/2024,15,0,92000,156000,120
27,1/12/2024,3,1,57000,171000,120
28,1/13/2024,7,0,101000,142000,138
29,1/14/2024,0,0,62000,147000,134
30,1/15/2024,0,0,59000,136000,94
31,1/16/2024,0,0,78000,136000,94
32,1/17/2024,3,0,54000,144000,102
33,1/18/2024,3,0,74000,153000,94
34,1/19/2024,10,1,75000,138000,112
35,1/20/2024,21,28,51000,143000,124
36,1/21/2024,5,0,81000,145000,150
37,1/22/2024,7,0,62000,144000,79
38,1/23/2024,0,0,106000,142000,126
39,1/24/2024,0,0,69000,141000,112
40,1/25/2024,0,0,58000,154000,126
41,1/26/2024,4,0,59000,164000,132
42,1/27/2024,1,0,75000,134000,73
43,1/28/2024,14,4,57000,155000,151
44,1/29/2024,12,0,90000,153000,135
45,1/30/2024,0,1,85000,153000,106
46,1/31/2024,0,0,80000,164000,124
47,2/1/2024,0,0,66000,154000,127
48,2/2/2024,0,0,66000,152000,118
49,2/3/2024,0,0,67000,148000,151
50,2/4/2024,0,0,83000,162000,109
51,2/5/2024,2,0,54000,147000,125
52,2/6/2024,6,2,93000,165000,94
53,2/7/2024,0,0,64000,152000,128
54,2/8/2024,0,0,75000,156000,41
55,2/9/2024,0,0,78000,137000,0
56,2/10/2024,0,0,73000,147000,101
57,2/11/2024,0,0,92000,164000,131
58,2/12/2024,4,0,80000,148000,100
59,2/13/2024,0,1,82000,163000,129
60,2/14/2024,0,0,77000,165000,56
61,2/15/2024,0,1,69000,159000,0
62,2/16/2024,1,0,67000,155000,28
63,2/17/2024,0,0,90000,153000,78
64,2/18/2024,0,0,111000,146000,129
65,2/19/2024,1,1,88000,147000,113
66,2/20/2024,0,0,140000,196000,124
67,2/21/2024,0,0,91000,145000,100
68,2/22/2024,3,0,111000,162000,138
69,2/23/2024,0,0,92000,144000,98
70,2/24/2024,0,0,96000,168000,95
71,2/25/2024,0,0,117000,163000,129
72,2/26/2024,0,0,75000,141000,110
73,2/27/2024,0,0,92000,143000,123
74,2/28/2024,0,0,45000,139000,104
75,2/29/2024,0,0,98000,140000,119
76,3/1/2024,0,0,98000,175000,127
77,3/2/2024,3,1,109000,140000,96
78,3/3/2024,7,2,128000,155000,94
